Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:02345108


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
2345108;1;01/07/1983;1;;;;;0;0;0;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;10,4;2,0;4,2;24,8;0,0;0,0;0,0;0,0;0,0;4,4;0,2;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2345108;1;01/06/1983;1;;;;;0;0;0;;0;;7,6;;;49,0;19,2;0,6;27,0;1,2;;;;14,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;2,6;0,4;11,6;0,0;0,0;;0;1;0;0;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;0;
2345108;1;01/05/1983;1;;;;;0;0;0;;0;0,0;44,2;10,8;0,0;0,0;0,0;0,0;1,2;0,0;0,0;0,0;43,0;;;66,0;0,0;0,0;7,0;17,0;;;5,6;12,0;2,4;10,8;2,6;;;38,2;26,8;7,6;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;
2345108;1;01/04/1983;1;;;;;0;0;0;;0;0,0;0,0;0,0;0,0;49,0;32,8;5,6;;;4,8;0,0;0,0;0,0;0,0;;;9,2;10,2;;;47,4;;;38,0;23,0;4,4;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;0;0;1;0;0;1;1;1;1;1;1;1;0;
2345108;1;01/03/1983;1;;;;;0;0;0;;0;7,0;10,6;0,4;;;62,4;5,0;0,0;0,0;0,0;;;26,4;29,6;8,4;1,4;0,0;;;18,0;24,4;18,2;25,2;4,4;;;12,6;0,0;0,0;0,0;0,0;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;
2345108;1;01/02/1983;1;;;;;0;0;0;;0;19,2;7,0;0,0;0,0;0,0;0,0;0,0;20,2;1,2;19,1;;;;;140,4;0,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;25,8;4,0;;;;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;1;1;0;0;0;
2345108;1;01/01/1983;1;;;;;0;0;0;;0;;0,6;15,4;4,6;33,6;1,6;;;27,0;0,0;0,0;31,4;56,8;;;3,8;13,6;1,6;8,6;0,4;;;13,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,8;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;
2345108;1;01/12/1982;1;;;;;0;0;0;;0;1,0;43,8;;;13,0;11,2;24,0;1,0;5,2;;;2,8;2,0;8,6;3,8;6,2;0,0;0,0;0,2;9,0;0,2;0,0;2,2;;;3,2;0,0;0,0;0,0;0,0;0,0;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;
2345108;1;01/11/1982;1;;;;;0;0;0;;0;0,0;0,0;0,0;0,0;;;16,8;13,2;31,0;2,2;1,0;;;;132,0;0,2;3,8;0,6;;;8,0;16,0;16,4;2,8;0,6;;;13,6;0,0;0,0;;1;1;1;1;0;0;1;1;1;1;1;0;0;0;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;0;
2345108;1;01/10/1982;1;;;;;0;0;0;;0;;;10,2;0,0;1,0;2,2;12,2;;;;;115,6;0,0;0,0;;;0,4;0,0;0,0;0,0;0,0;;;12,2;0,0;14,2;0,6;18,6;;;8,4;0;0;1;1;1;1;1;0;0;0;0;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;
